Doncaster College|53.527849|-1.1328661		
		
Doncaster Crisis for Homeless Adults|53.52282|-1.128462		
		
Doncaster Prison |53.52282|-1.128462		
		
Doncaster Racecourse|53.52282|-1.128462		
		
Dot Cotton Crafts|53.38112899999999|-1.470085		
		
DPR-Barcelona|41.3775164|2.1597979		
		
Dudley College|52.5136464|-2.0834197		
		
Dugdale Bros & Co|53.6489452|-1.7815227		
		
Dune London|51.5073509|-0.1277583		
		
Dunhill Medical Trust|51.5073509|-0.1277583		
		
Dust Collective|53.38112899999999|-1.470085		
		
Each to thier own (ETTO Boutique)|53.4091288|-1.3647527		
		
East Coast College|52.59247569999999|1.7227054		
		
EC - European Commission|51.5073509|-0.1277583		
		
EDQuals|53.372587|-1.203068		
		
Elite Associates|51.522535|-0.104919		
		
English Heritage|37.3673217|-77.6077865		
		
English Institute of Sport|53.38112899999999|-1.470085		
		
Epiphany VR|53.38112899999999|-1.470085		
		
EPSRC - Engineering and Physical Sciences Research Council|51.55577390000001|-1.7797176		
		
Equip Outdoor Technologies UK Ltd (Rab)|53.09744999999999|-1.382256		
		
EURECAT - Fundacio Eurecat|41.3850639|2.1734035		
		
European Regional Development Fund (ERDF)|47.210335|-1.651444		
		
European Union |50.84348259999999|4.3825598		
		
Evolution Power Tools Ltd|53.3343657|-1.3342384		
		
Evolution Print|53.38112899999999|-1.470085		
		
EW Innovations|53.38112899999999|-1.470085		
		
Exposed Magazine|53.38906009999999|-1.4714736		
		
Fashion InFlux|53.38112899999999|-1.470085		
		
Fashion Personnel|51.51734889999999|-0.1401493		
		
Fellowes 53 Ltd|53.52282|-1.128462		
		
First Direct Buses|53.52282|-1.128462		
		
Fitism Ltd|53.215207|-1.676171		
		
Fixperts|51.5073509|-0.1277583		
		
FLEX - Flextronics Design S.R.L|53.3900441|-2.5969501		
		
Focus International Ltd|53.6430983|-1.8168455		
		
Fontem Ventures|52.3702157|4.895167900000001		
		
Food Innovation Solutions Ltd|52.2429228|0.7104931999999999		
		
Four Seasons Recrutiment|51.4940378|-0.2264148		
		
